subscription_id,customer_id,event_date,event_type,plan,mrr_amount,currency
sub_000001,cust_0001,2023-07-07 16:58:25.189600,new_subscription,Basic,29,EUR
sub_000002,cust_0002,2024-06-10 16:45:31.168931,new_subscription,Basic,29,EUR
sub_000003,cust_0002,2024-10-09 01:04:57.158128,upgrade,Professional,50,EUR
sub_000004,cust_0003,2023-03-09 20:23:55.523179,new_subscription,Basic,29,EUR
sub_000005,cust_0003,2024-04-27 00:22:22.383540,upgrade,Professional,50,EUR
sub_000006,cust_0004,2023-01-24 22:27:07.843116,new_subscription,Enterprise,199,EUR
sub_000007,cust_0005,2024-01-03 15:11:19.229358,new_subscription,Basic,29,EUR
sub_000008,cust_0005,2024-07-12 18:15:23.462235,churn,,-29,EUR
sub_000009,cust_0006,2023-01-09 07:40:24.084450,new_subscription,Basic,29,EUR
sub_000010,cust_0007,2024-12-15 13:43:25.018338,new_subscription,Basic,29,EUR
sub_000011,cust_0008,2023-03-22 06:31:05.851188,new_subscription,Professional,79,EUR
sub_000012,cust_0008,2023-08-23 01:10:03.731564,churn,,-79,EUR
sub_000013,cust_0009,2023-05-26 02:26:08.890154,new_subscription,Basic,29,EUR
sub_000014,cust_0009,2023-09-22 10:35:26.514143,churn,,-29,EUR
sub_000015,cust_0010,2023-08-15 05:09:21.027928,new_subscription,Enterprise,199,EUR
sub_000016,cust_0011,2024-01-14 13:09:37.401977,new_subscription,Basic,29,EUR
sub_000017,cust_0012,2023-05-19 04:56:56.094803,new_subscription,Basic,29,EUR
sub_000018,cust_0013,2023-09-01 13:46:22.812434,new_subscription,Professional,79,EUR
sub_000019,cust_0014,2023-03-31 02:15:51.395168,new_subscription,Professional,79,EUR
sub_000020,cust_0014,2023-04-05 01:15:04.464529,downgrade,Basic,-50,EUR
sub_000021,cust_0015,2023-12-26 00:02:43.168465,new_subscription,Enterprise,199,EUR
sub_000022,cust_0016,2024-01-10 03:11:49.193651,new_subscription,Basic,29,EUR
sub_000023,cust_0017,2023-01-27 21:44:01.451189,new_subscription,Basic,29,EUR
sub_000024,cust_0018,2024-12-31 00:00:00.000000,new_subscription,Enterprise,199,EUR
sub_000025,cust_0019,2023-05-26 07:33:48.440520,new_subscription,Basic,29,EUR
sub_000026,cust_0019,2023-07-05 22:26:30.991846,churn,,-29,EUR
sub_000027,cust_0020,2024-04-06 02:24:26.372690,new_subscription,Professional,79,EUR
sub_000028,cust_0021,2023-02-22 01:27:41.205466,new_subscription,Professional,79,EUR
sub_000029,cust_0022,2023-01-14 23:56:23.013087,new_subscription,Basic,29,EUR
sub_000030,cust_0023,2023-04-30 18:47:40.767614,new_subscription,Professional,79,EUR
sub_000031,cust_0023,2024-12-18 11:03:40.445669,upgrade,Enterprise,120,EUR
sub_000032,cust_0024,2023-05-30 10:02:49.862087,new_subscription,Basic,29,EUR
sub_000033,cust_0025,2023-11-13 11:44:54.458251,new_subscription,Basic,29,EUR
sub_000034,cust_0026,2024-12-31 00:00:00.000000,new_subscription,Basic,29,EUR
sub_000035,cust_0027,2024-12-31 00:00:00.000000,new_subscription,Basic,29,EUR
sub_000036,cust_0028,2023-12-31 10:07:20.491966,new_subscription,Professional,79,EUR
sub_000037,cust_0029,2023-02-07 01:29:32.661420,new_subscription,Professional,79,EUR
sub_000038,cust_0030,2023-01-19 12:18:24.734137,new_subscription,Basic,29,EUR
sub_000039,cust_0030,2023-08-16 04:56:09.179452,upgrade,Professional,50,EUR
sub_000040,cust_0031,2023-07-16 20:27:02.884408,new_subscription,Enterprise,199,EUR
